"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"2","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","65.76"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","24.59"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","0"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","53.00"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","15.85"
"3","561351","benchmark","127.0.0.1","transpose_kernel(const float *, float *, int, int)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","63.25"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.26"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","99.09"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","launch__registers_per_thread","register/thread","39"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","81.81"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","9.36"
"4","561351","benchmark","127.0.0.1","sgemm_with_transpose(int, int, int, float, const float *, const float *, float, float *)","1","7","(32, 32, 1)","(16, 16, 1)","0","8.6","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","65.76"
